plot_id,burned,longitude,latitude,sample_date,ecozone,elevation,aspect,slope,moisture,moisture_cond_3,burn_date_julian,comp_burn_index,fire_id,dominance,stand_age,stand_age_cond,origin,density,principlecomp_analysis_abundance,unknown_pct,blackspruce_pct,jackpine_pct,tamarack_pct,paperbirch_pct,trembling_aspen_pct,greenalder_pct,willow_pct,whitespruce_pct,balsamfir_pct,balsampoplar_pct,conifer_pct,deciduous_pct,shrub_pct,unknown_abundance,blackspruce_abundance,jackpine_abundance,tamarack_abundance,paperbirch_abundance,trembling_aspen_abundance,greenalder_abundance,willow_abundance,whitespruce_abundance,balsamfir_abundance,balsampoplar_abundance,total_abundance,adventitious_roots,prefire_soil_depth,prefire_soil_depth_se,postfire_soil_depth,postfire_soil_depth_se,soil_burn_depth,soil_burn_depth_se,bg_prefire_c,bg_prefire_c_se,bg_postfire_c,bg_postfire_c_se,bg_combusted_c,bg_combusted_c_se,tree_prefire_biomass,tree_postfire_biomass,tree_combusted_biomass,tree_prefire_c,tree_postfire_c,tree_combusted_c,cwd_prefire_c,cwd_postfire_c,cwd_combusted_c,ag_prefire_c,ag_prefire_sd,ag_postfire_c,ag_combusted_c,ag_combusted_c_sd,total_prefire_c,total_prefire_c_se,total_postfire_c,total_combusted_c,total_combusted_c_se
JJ012B,1,-105.322017,55.22314402,2016-06-04,Shield,377,-9999,0,Subxeric,Xeric,187.53,2.13,Egg,Coniferous,9,Young,Fire,0.25,-0.506204594,0.00,6.67,93.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0,1,14,0,0,0,0,0,0,0,0,15,N,3.11,2.87,0.02,0.01,3.09,2.87,0.52,0.99,0.05,0.00,0.47,0.99,1474.58,894.62,579.96,0.74,0.45,0.29,1.68,1.18,0.50,2.42,0.51,1.62,0.79,0.37,2.93,1.11,1.67,1.26,1.06
JJ013B,1,-105.330443,55.16966698,2016-06-04,Shield,385,90,22.5,Xeric,Xeric,187.53,1.89,Egg,Deciduous,64,Mature,Harvest,0.30,-0.66019279,0.00,50.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,50.00,50.00,0.00,0,9,0,0,0,9,0,0,0,0,0,18,Y,11.43,2.52,2.60,0.48,8.83,2.56,4.38,1.18,0.57,0.34,3.81,1.13,3492.67,3438.76,53.91,1.75,1.72,0.03,0.91,0.77,0.14,2.66,0.28,2.49,0.16,0.13,7.04,1.21,3.06,3.98,1.14
JJ018B,1,-108.975975,56.93573096,2016-06-06,Shield,450,190,0.9,Subxeric,Xeric,193.56,1.71,Brady,Coniferous,20,Intermediate,Fire,0.10,-0.5748087,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0,0,6,0,0,0,0,0,0,0,0,6,N,3.82,2.89,0.70,0.47,3.12,2.93,2.09,1.04,1.62,0.29,0.47,1.00,5445.08,5261.91,183.17,2.72,2.63,0.09,0.62,0.43,0.19,3.34,0.30,3.06,0.28,0.19,5.43,1.08,4.68,0.75,1.02
JJ020B,1,-108.962285,56.79853798,2016-06-07,Shield,447,-9999,0,Mesic to subhygric,Subhygric,191.89,1.63,Brady,Coniferous,101,Mature,Fire,0.80,-0.892847121,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0,48,0,0,0,0,0,0,0,0,0,48,Y,34.50,2.59,30.53,1.37,3.96,2.93,4.78,1.54,4.44,0.85,0.33,1.28,4474.19,3962.71,511.48,2.24,1.98,0.26,0.10,0.09,0.01,2.34,0.15,2.07,0.27,0.07,7.12,1.54,6.52,0.60,1.28
JJ021B,1,-108.973175,56.92723699,2016-06-07,Shield,431,200,1.8,Subxeric to mesic,Mesic,187.52,2.49,Brady,Coniferous,20,Intermediate,Fire,1.13,-0.000746642,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0,0,68,0,0,0,0,0,0,0,0,68,N,7.30,2.77,1.15,0.67,6.15,2.85,1.29,0.99,0.42,0.08,0.87,0.99,1304.01,978.57,325.44,0.65,0.49,0.16,0.91,0.46,0.46,1.56,0.38,0.95,0.62,0.36,2.85,1.06,1.37,1.49,1.05
JJ022B,1,-108.955239,56.79428198,2016-06-08,Shield,438,-9999,0,Subhygric,Subhygric,190.46,1.19,Brady,Coniferous,48,Intermediate,Fire,0.70,-1.894895441,5.77,50.00,0.00,44.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,3,26,0,23,0,0,0,0,0,0,0,52,Y,21.86,1.58,20.33,0.88,1.52,1.81,1.69,1.01,1.66,0.42,0.03,0.92,1571.72,1051.08,520.64,0.79,0.53,0.26,0.01,0.01,0.00,0.79,0.05,0.53,0.26,0.06,2.49,1.01,2.19,0.30,0.92
JJ023B,1,-108.95264,56.79228198,2016-06-08,Shield,446,220,0.9,Subxeric,Xeric,190.46,2.03,Brady,Coniferous,56,Intermediate,Fire,0.58,-0.718665317,0.00,80.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0,28,7,0,0,0,0,0,0,0,0,35,Y,5.79,0.72,2.97,0.43,2.82,0.84,2.13,1.12,1.72,0.80,0.41,0.79,9196.89,8251.29,945.60,4.60,4.13,0.47,0.06,0.05,0.01,4.66,0.31,4.17,0.48,0.13,6.79,1.16,5.89,0.90,0.80
JJ024B,1,-108.999385,56.96431199,2016-06-08,Shield,493,300,0.9,Subxeric,Xeric,193.48,2.24,Brady,Coniferous,16,Young,Fire,0.80,-0.200655433,0.00,2.08,97.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0,1,47,0,0,0,0,0,0,0,0,48,N,3.55,2.88,3.00,0.48,0.55,2.92,1.79,1.04,1.74,0.29,0.05,1.00,1419.77,1287.38,132.39,0.71,0.64,0.07,1.36,0.54,0.82,2.07,0.47,1.19,0.88,0.42,3.86,1.14,2.92,0.94,1.08
JJ025B,1,-108.986742,56.91543703,2016-06-08,Shield,432,330,10.8,Xeric,Xeric,187.52,2.28,Brady,Deciduous,78,Mature,Fire,0.35,-0.405316107,0.00,28.57,0.00,0.00,52.38,19.05,0.00,0.00,0.00,0.00,0.00,28.57,71.43,0.00,0,6,0,0,11,4,0,0,0,0,0,21,Y,12.68,1.58,2.30,0.65,10.37,1.71,5.35,1.09,0.62,0.28,4.73,1.05,428.76,242.34,186.42,0.21,0.12,0.09,0.06,0.04,0.02,0.27,0.03,0.16,0.11,0.03,5.62,1.09,0.78,4.84,1.05
JJ027B,1,-108.982915,56.90974899,2016-06-09,Shield,430,10,0.9,Subxeric,Xeric,187.52,2.08,Brady,Deciduous,55,Intermediate,Fire,0.63,-0.541405789,0.00,0.00,2.63,0.00,0.00,97.37,0.00,0.00,0.00,0.00,0.00,2.63,97.37,0.00,0,0,1,0,0,37,0,0,0,0,0,38,N,15.53,4.03,2.50,0.46,13.03,4.06,4.13,1.22,0.63,0.31,3.51,1.18,7968.15,7800.41,167.74,3.98,3.90,0.08,0.08,0.06,0.02,4.06,0.27,3.96,0.10,0.03,8.19,1.25,4.59,3.60,1.18
JJ030B,1,-109.030743,56.71176902,2016-06-10,Plains,481,210,1.8,Mesic,Mesic,178.52,1.97,Brady,Coniferous,34,Intermediate,Fire,0.90,-0.817182007,3.70,72.22,24.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,96.30,0.00,0.00,2,39,13,0,0,0,0,0,0,0,0,54,Y,24.34,1.93,19.45,1.60,4.89,2.51,3.99,0.91,3.06,0.51,0.92,0.75,1061.58,706.00,355.58,0.53,0.35,0.18,0.37,0.26,0.11,0.90,0.15,0.61,0.29,0.12,4.89,0.92,3.68,1.21,0.76
JJ032B,1,-109.002503,56.72321702,2016-06-11,Plains,489,200,2.7,Subxeric,Xeric,184.49,2.45,Brady,Coniferous,34,Intermediate,Fire,0.68,-0.250741409,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0,0,41,0,0,0,0,0,0,0,0,41,N,4.82,2.93,1.05,1.05,3.77,3.12,1.14,1.03,0.53,0.00,0.61,1.03,4203.77,3307.70,896.07,2.10,1.65,0.45,1.51,0.38,1.13,3.61,0.52,2.03,1.58,0.47,4.75,1.15,2.56,2.19,1.13
