plot_id,burned,longitude,latitude,sample_date,ecozone,elevation,aspect,slope,moisture,moisture_cond_3,burn_date_julian,comp_burn_index,fire_id,dominance,stand_age,stand_age_cond,origin,density,principlecomp_analysis_abundance,unknown_pct,blackspruce_pct,jackpine_pct,tamarack_pct,paperbirch_pct,trembling_aspen_pct,greenalder_pct,willow_pct,whitespruce_pct,balsamfir_pct,balsampoplar_pct,conifer_pct,deciduous_pct,shrub_pct,unknown_abundance,blackspruce_abundance,jackpine_abundance,tamarack_abundance,paperbirch_abundance,trembling_aspen_abundance,greenalder_abundance,willow_abundance,whitespruce_abundance,balsamfir_abundance,balsampoplar_abundance,total_abundance,adventitious_roots,prefire_soil_depth,prefire_soil_depth_se,postfire_soil_depth,postfire_soil_depth_se,soil_burn_depth,soil_burn_depth_se,bg_prefire_c,bg_prefire_c_se,bg_postfire_c,bg_postfire_c_se,bg_combusted_c,bg_combusted_c_se,tree_prefire_biomass,tree_postfire_biomass,tree_combusted_biomass,tree_prefire_c,tree_postfire_c,tree_combusted_c,cwd_prefire_c,cwd_postfire_c,cwd_combusted_c,ag_prefire_c,ag_prefire_sd,ag_postfire_c,ag_combusted_c,ag_combusted_c_sd,total_prefire_c,total_prefire_c_se,total_postfire_c,total_combusted_c,total_combusted_c_se
BR011C,0,-105.8882617,54.37360766,2016-06-13,Plains,624,200,1.8,Subxeric to mesic,Mesic,-9999,-9999,NA,Coniferous,31,Intermediate,Harvest,1.32,0.04817893,0.00,2.56,94.87,0.00,0.00,2.56,0.00,0.00,0.00,0.00,0.00,97.44,2.56,0.00,0,2,74,0,0,2,0,0,0,0,0,78,Y,8.31,1.11,-9999,-9999,-9999,-9999,1.71,0.28,-9999,-9999,-9999,-9999,6347.82,-9999,-9999,3.17,-9999,-9999,0.64,-9999,-9999,3.81,0.25,-9999,-9999,-9999,5.52,0.38,-9999,-9999,-9999
BR012C,0,-106.3274384,54.42079484,2016-06-13,Plains,619,250,1.8,Subxeric to mesic,Mesic,-9999,-9999,NA,Coniferous,17,Young,Harvest,1.55,-0.1996944,0.00,43.01,44.09,0.00,4.30,0.00,7.53,1.08,0.00,0.00,0.00,87.10,4.30,8.60,0,40,41,0,4,0,7,1,0,0,0,93,Y,8.42,0.60,-9999,-9999,-9999,-9999,2.54,0.36,-9999,-9999,-9999,-9999,6171.83,-9999,-9999,3.09,-9999,-9999,0.51,-9999,-9999,3.59,0.23,-9999,-9999,-9999,6.13,0.43,-9999,-9999,-9999
BR013C,0,-106.009086,54.33185954,2016-06-14,Plains,614,-9999,0,Subhygric,Subhygric,-9999,-9999,NA,Coniferous,57,Intermediate,Fire,1.72,-1.129304462,0.00,99.03,0.00,0.00,0.00,0.00,0.00,0.97,0.00,0.00,0.00,99.03,0.00,0.97,0,102,0,0,0,0,0,1,0,0,0,103,Y,29.40,1.19,-9999,-9999,-9999,-9999,3.89,0.95,-9999,-9999,-9999,-9999,2926.69,-9999,-9999,1.46,-9999,-9999,0.00,-9999,-9999,1.46,0.09,-9999,-9999,-9999,5.35,0.96,-9999,-9999,-9999
BR014C,0,-106.0111555,54.33251741,2016-06-14,Plains,617,220,9,Subxeric,Xeric,-9999,-9999,NA,Coniferous,76,Mature,Harvest,0.95,-0.588603291,0.00,57.89,42.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0,33,24,0,0,0,0,0,0,0,0,57,Y,14.35,0.71,-9999,-9999,-9999,-9999,1.40,0.28,-9999,-9999,-9999,-9999,14422.50,-9999,-9999,7.21,-9999,-9999,0.29,-9999,-9999,7.50,0.47,-9999,-9999,-9999,8.90,0.55,-9999,-9999,-9999
BR015C,0,-106.0192178,54.36360148,2016-06-14,Plains,638,-9999,0,Subxeric to mesic,Mesic,-9999,-9999,NA,Coniferous,68,Mature,Harvest,0.72,-0.754729383,0.00,34.88,46.51,0.00,4.65,0.00,0.00,2.33,0.00,11.63,0.00,81.40,16.28,2.33,0,15,20,0,2,0,0,1,0,5,0,43,Y,14.07,0.82,-9999,-9999,-9999,-9999,1.71,0.30,-9999,-9999,-9999,-9999,22770.80,-9999,-9999,11.39,-9999,-9999,0.61,-9999,-9999,12.00,0.75,-9999,-9999,-9999,13.71,0.80,-9999,-9999,-9999
BR016C,0,-105.9576552,54.09101362,2016-06-15,Plains,527,0,0,Mesic,Mesic,-9999,-9999,NA,Coniferous,13,Young,Fire,3.83,4.68711579,0.00,0.00,73.80,0.00,0.00,3.06,0.00,2.62,18.78,0.00,1.75,92.58,4.80,2.62,0,0,169,0,0,7,0,6,43,0,4,229,Y,19.27,2.07,-9999,-9999,-9999,-9999,11.27,5.41,-9999,-9999,-9999,-9999,1729.09,-9999,-9999,0.86,-9999,-9999,0.82,-9999,-9999,1.69,0.19,-9999,-9999,-9999,12.96,5.42,-9999,-9999,-9999
BR017C,0,-105.9571429,54.09182839,2016-06-16,Plains,531,180,9.9,Xeric,Xeric,-9999,-9999,NA,Coniferous,13,Young,Fire,1.40,0.59284082,0.00,0.00,73.81,0.00,0.00,1.19,0.00,0.00,25.00,0.00,0.00,98.81,1.19,0.00,0,0,62,0,0,1,0,0,21,0,0,84,Y,1.72,0.35,-9999,-9999,-9999,-9999,0.85,0.37,-9999,-9999,-9999,-9999,4169.58,-9999,-9999,2.08,-9999,-9999,2.04,-9999,-9999,4.13,0.46,-9999,-9999,-9999,4.98,0.60,-9999,-9999,-9999
JJ005C,0,-104.920468,55.32833397,2016-06-02,Shield,432,340,7.2,Subxeric to mesic,Mesic,-9999,-9999,NA,Coniferous,86,Mature,Harvest,0.18,-0.690515682,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0,11,0,0,0,0,0,0,0,0,0,11,Y,23.83,1.52,-9999,-9999,-9999,-9999,5.04,1.45,-9999,-9999,-9999,-9999,4745.03,-9999,-9999,2.37,-9999,-9999,0.97,-9999,-9999,3.34,0.26,-9999,-9999,-9999,8.38,1.47,-9999,-9999,-9999
JJ007C,0,-104.693358,55.69785101,2016-06-03,Shield,408,220,6.3,Subxeric to mesic,Mesic,-9999,-9999,NA,Coniferous,137,Mature,Fire,0.97,-0.947531293,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0,58,0,0,0,0,0,0,0,0,0,58,Y,25.16,1.21,-9999,-9999,-9999,-9999,3.88,1.14,-9999,-9999,-9999,-9999,3525.20,-9999,-9999,1.76,-9999,-9999,1.12,-9999,-9999,2.88,0.27,-9999,-9999,-9999,6.76,1.17,-9999,-9999,-9999
JJ008C,0,-104.745021,55.64182403,2016-06-03,Shield,360,250,11.7,Subxeric,Xeric,-9999,-9999,NA,Coniferous,10,Young,Fire,0.58,-0.715043765,0.00,60.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,60.00,40.00,0.00,0,21,0,0,0,14,0,0,0,0,0,35,N,7.15,0.96,-9999,-9999,-9999,-9999,1.37,0.26,-9999,-9999,-9999,-9999,64.89,-9999,-9999,0.03,-9999,-9999,1.67,-9999,-9999,1.70,0.36,-9999,-9999,-9999,3.07,0.44,-9999,-9999,-9999
JJ009C,0,-104.736606,55.63444703,2016-06-03,Shield,364,250,7.2,Subxeric,Xeric,-9999,-9999,NA,Coniferous,10,Young,Fire,0.58,-0.582549893,0.00,51.43,2.86,0.00,14.29,31.43,0.00,0.00,0.00,0.00,0.00,54.29,45.71,0.00,0,18,1,0,5,11,0,0,0,0,0,35,N,8.30,1.07,-9999,-9999,-9999,-9999,1.92,0.46,-9999,-9999,-9999,-9999,9391.99,-9999,-9999,4.70,-9999,-9999,2.01,-9999,-9999,6.70,0.54,-9999,-9999,-9999,8.63,0.71,-9999,-9999,-9999
JJ010C,0,-104.881456,55.451442,2016-06-03,Shield,440,20,6.3,Subxeric to mesic,Mesic,-9999,-9999,NA,Deciduous,50,Intermediate,Fire,0.75,0.29807135,0.00,0.00,0.00,0.00,31.11,26.67,0.00,0.00,42.22,0.00,0.00,42.22,57.78,0.00,0,0,0,0,14,12,0,0,19,0,0,45,Y,14.56,1.04,-9999,-9999,-9999,-9999,2.98,1.06,-9999,-9999,-9999,-9999,9836.44,-9999,-9999,4.92,-9999,-9999,0.03,-9999,-9999,4.95,0.32,-9999,-9999,-9999,7.93,1.10,-9999,-9999,-9999
JJ011C,0,-104.854298,55.46523401,2016-06-04,Shield,422,40,4.5,Subxeric to mesic,Mesic,-9999,-9999,NA,Mixed,10,Young,Fire,0.38,-0.42439273,0.00,43.48,4.35,0.00,47.83,4.35,0.00,0.00,0.00,0.00,0.00,47.83,52.17,0.00,0,10,1,0,11,1,0,0,0,0,0,23,N,12.75,1.15,-9999,-9999,-9999,-9999,2.78,0.66,-9999,-9999,-9999,-9999,967.45,-9999,-9999,0.48,-9999,-9999,1.60,-9999,-9999,2.08,0.35,-9999,-9999,-9999,4.86,0.75,-9999,-9999,-9999
JJ014C,0,-108.985647,56.94494301,2016-06-06,Shield,450,-9999,0,Subhygric,Subhygric,-9999,-9999,NA,Coniferous,21,Intermediate,Fire,0.72,-1.964325485,51.16,37.21,0.00,11.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.21,0.00,0.00,22,16,0,5,0,0,0,0,0,0,0,43,Y,21.00,2.03,-9999,-9999,-9999,-9999,2.31,0.52,-9999,-9999,-9999,-9999,4208.79,-9999,-9999,2.10,-9999,-9999,1.09,-9999,-9999,3.20,0.27,-9999,-9999,-9999,5.51,0.59,-9999,-9999,-9999
JJ015C,0,-108.983653,56.943174,2016-06-06,Shield,454,-9999,0,Subhygric,Subhygric,-9999,-9999,NA,Coniferous,67,Mature,Fire,0.33,-1.297798066,0.00,25.00,0.00,75.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0,5,0,15,0,0,0,0,0,0,0,20,Y,25.11,2.25,-9999,-9999,-9999,-9999,1.53,0.13,-9999,-9999,-9999,-9999,1655.88,-9999,-9999,0.83,-9999,-9999,0.00,-9999,-9999,0.83,0.05,-9999,-9999,-9999,2.36,0.14,-9999,-9999,-9999
JJ016C,0,-108.986247,56.92930598,2016-06-06,Shield,441,180,0.9,Subxeric,Xeric,-9999,-9999,NA,Coniferous,21,Intermediate,Fire,1.03,-0.219631577,0.00,19.35,79.03,0.00,1.61,0.00,0.00,0.00,0.00,0.00,0.00,98.39,1.61,0.00,0,12,49,0,1,0,0,0,0,0,0,62,N,6.80,1.46,-9999,-9999,-9999,-9999,1.41,0.54,-9999,-9999,-9999,-9999,454.65,-9999,-9999,0.23,-9999,-9999,0.44,-9999,-9999,0.67,0.10,-9999,-9999,-9999,2.07,0.55,-9999,-9999,-9999
JJ017C,0,-108.974955,56.93644904,2016-06-06,Shield,457,-9999,0,Subxeric,Xeric,-9999,-9999,NA,Coniferous,66,Mature,Fire,0.22,-0.538415478,0.00,0.00,69.23,0.00,0.00,30.77,0.00,0.00,0.00,0.00,0.00,69.23,30.77,0.00,0,0,9,0,0,4,0,0,0,0,0,13,N,4.85,0.91,-9999,-9999,-9999,-9999,0.96,0.34,-9999,-9999,-9999,-9999,4414.88,-9999,-9999,2.21,-9999,-9999,0.26,-9999,-9999,2.47,0.15,-9999,-9999,-9999,3.42,0.37,-9999,-9999,-9999
JJ019C,0,-108.969626,56.81381199,2016-06-07,Shield,450,300,0.9,Subxeric to mesic,Mesic,-9999,-9999,NA,Coniferous,51,Intermediate,Fire,0.97,-0.476251847,0.00,44.83,55.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0,26,32,0,0,0,0,0,0,0,0,58,Y,7.42,0.83,-9999,-9999,-9999,-9999,1.15,0.64,-9999,-9999,-9999,-9999,5649.04,-9999,-9999,2.82,-9999,-9999,1.05,-9999,-9999,3.88,0.29,-9999,-9999,-9999,5.02,0.70,-9999,-9999,-9999
JJ026C,0,-109.012957,56.98350596,2016-06-09,Shield,480,260,2.7,Subxeric to mesic,Mesic,-9999,-9999,NA,Coniferous,21,Intermediate,Fire,0.67,-0.377820336,0.00,20.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0,8,32,0,0,0,0,0,0,0,0,40,N,10.50,1.39,-9999,-9999,-9999,-9999,1.89,0.22,-9999,-9999,-9999,-9999,214.28,-9999,-9999,0.11,-9999,-9999,0.08,-9999,-9999,0.19,0.02,-9999,-9999,-9999,2.08,0.22,-9999,-9999,-9999
JJ028C,0,-109.1730478,57.3646249,2016-06-10,Shield,537,260,0.9,Subxeric to mesic,Mesic,-9999,-9999,NA,Coniferous,29,Intermediate,Fire,1.27,-0.004296231,0.00,10.53,85.53,0.00,3.95,0.00,0.00,0.00,0.00,0.00,0.00,96.05,3.95,0.00,0,8,65,0,3,0,0,0,0,0,0,76,Y,5.64,0.38,-9999,-9999,-9999,-9999,1.54,0.44,-9999,-9999,-9999,-9999,4081.36,-9999,-9999,2.04,-9999,-9999,3.30,-9999,-9999,5.34,0.73,-9999,-9999,-9999,6.88,0.85,-9999,-9999,-9999
JJ029C,0,-109.167168,57.36194797,2016-06-10,Shield,514,320,16.2,Subxeric,Xeric,-9999,-9999,NA,Coniferous,35,Intermediate,Fire,0.68,-0.279972514,0.00,0.00,82.93,0.00,2.44,14.63,0.00,0.00,0.00,0.00,0.00,82.93,17.07,0.00,0,0,34,0,1,6,0,0,0,0,0,41,N,3.00,0.56,-9999,-9999,-9999,-9999,0.27,0.10,-9999,-9999,-9999,-9999,2704.95,-9999,-9999,1.35,-9999,-9999,1.28,-9999,-9999,2.63,0.29,-9999,-9999,-9999,2.90,0.31,-9999,-9999,-9999
JJ031C,0,-109.02527,56.72346898,2016-06-11,Plains,468,-9999,0,Mesic to subhygric,Subhygric,-9999,-9999,NA,Coniferous,24,Intermediate,Fire,0.63,-0.678480266,0.00,78.95,0.00,2.63,18.42,0.00,0.00,0.00,0.00,0.00,0.00,78.95,18.42,0.00,0,30,0,1,7,0,0,0,0,0,0,38,Y,18.79,1.92,-9999,-9999,-9999,-9999,2.14,0.11,-9999,-9999,-9999,-9999,3809.69,-9999,-9999,1.90,-9999,-9999,0.92,-9999,-9999,2.83,0.24,-9999,-9999,-9999,4.97,0.26,-9999,-9999,-9999
BR001B,1,-105.177278,55.29093974,2016-05-30,Shield,387,30,5.4,Subxeric to mesic,Mesic,187.92,2.64,Egg,Coniferous,105,Mature,Harvest,0.43,-0.938505258,15.38,84.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84.62,0.00,0.00,4,22,0,0,0,0,0,0,0,0,0,26,Y,16.84,3.35,1.95,0.81,14.89,3.45,4.01,1.12,0.80,0.30,3.20,1.08,13210.30,9865.96,3344.34,6.61,4.93,1.67,1.00,0.50,0.50,7.60,0.59,5.43,2.17,0.55,11.61,1.27,6.23,5.37,1.21
BR002B,1,-105.7961863,55.20995942,2016-05-31,Plains,389,70,1.8,Mesic to subhygric,Subhygric,157.91,2.67,Egg,Coniferous,96,Mature,Fire,0.22,-0.738656959,0.00,92.31,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.31,0.00,0.00,0,12,0,1,0,0,0,0,0,0,0,13,Y,46.22,3.34,18.48,2.81,27.74,4.36,16.26,3.25,9.73,2.89,6.53,1.49,9758.25,7933.24,1825.01,4.88,3.97,0.91,1.10,0.88,0.22,5.98,0.48,4.85,1.13,0.31,22.23,3.28,14.58,7.66,1.53
BR003B,1,-105.8085776,55.20800874,2016-05-31,Plains,392,250,1.8,Subxeric,Xeric,157.91,2.88,Egg,Coniferous,108,Mature,Harvest,0.28,-0.562581805,11.76,17.65,41.18,0.00,29.41,0.00,0.00,0.00,0.00,0.00,0.00,58.82,29.41,0.00,2,3,7,0,5,0,0,0,0,0,0,17,Y,12.12,1.39,5.16,0.70,6.96,1.56,3.72,0.99,2.29,0.52,1.43,0.84,9806.11,6763.19,3042.92,4.90,3.38,1.52,3.45,2.94,0.52,8.36,0.91,6.32,2.04,0.55,12.08,1.34,8.61,3.47,1.01
BR004B,1,-104.8341216,55.53626868,2016-06-01,Shield,455,61,3.6,Xeric,Xeric,193.5,1.92,Egg,Deciduous,11,Young,Fire,1.60,-0.430061374,1.04,0.00,6.25,0.00,0.00,92.71,0.00,0.00,0.00,0.00,0.00,6.25,92.71,0.00,1,0,6,0,0,89,0,0,0,0,0,96,N,7.43,4.27,2.85,0.42,4.58,4.30,2.73,1.41,1.11,0.37,1.61,1.36,2312.22,1853.28,458.94,1.16,0.93,0.23,0.76,0.57,0.19,1.92,0.28,1.50,0.42,0.20,4.65,1.43,2.61,2.03,1.37
BR005B,1,-104.8342698,55.53493901,2016-06-01,Shield,450,180,8.1,Xeric,Xeric,193.5,2.2,Egg,Mixed,9,Young,Fire,1.63,0.01362094,0.00,0.00,44.90,0.00,0.00,46.94,8.16,0.00,0.00,0.00,0.00,44.90,46.94,8.16,0,0,44,0,0,46,8,0,0,0,0,98,N,4.16,3.68,1.85,0.39,2.31,3.70,1.52,1.31,0.84,0.33,0.69,1.27,871.45,778.80,92.65,0.44,0.39,0.05,1.74,1.48,0.26,2.17,0.48,1.87,0.31,0.27,3.70,1.40,2.70,1.00,1.30
BR006B,1,-104.833733,55.53449799,2016-06-01,Shield,441,160,5.85,Subxeric,Xeric,193.5,1.45,Egg,Deciduous,9,Young,Fire,1.00,0.309162297,0.00,0.00,15.00,0.00,53.33,21.67,10.00,0.00,0.00,0.00,0.00,15.00,75.00,10.00,0,0,9,0,32,13,6,0,0,0,0,60,N,8.01,3.52,2.65,0.37,5.36,3.54,2.48,1.15,1.49,0.37,0.99,1.09,3976.42,3408.04,568.38,1.99,1.70,0.28,0.76,0.65,0.11,2.75,0.43,2.35,0.40,0.15,5.24,1.23,3.85,1.39,1.10
BR007B,1,-105.8088447,55.21483016,2016-06-03,Plains,399,120,2.7,Subxeric,Xeric,157.91,2.71,Egg,Deciduous,125,Mature,Harvest,0.32,-0.337279788,5.26,0.00,10.53,0.00,73.68,10.53,0.00,0.00,0.00,0.00,0.00,10.53,84.21,0.00,1,0,2,0,14,2,0,0,0,0,0,19,Y,19.32,3.20,3.86,0.94,15.46,3.33,6.37,1.33,1.86,0.79,4.50,1.07,9654.44,8732.13,922.31,4.83,4.37,0.46,1.71,1.20,0.51,6.54,0.61,5.56,0.97,0.38,12.91,1.46,7.43,5.48,1.14
BR008B,1,-105.2552569,55.25037093,2016-06-04,Shield,406,330,5.85,Xeric,Xeric,183.54,2.9,Egg,Coniferous,18,Young,Fire,2.08,0.928718464,0.00,0.00,77.60,0.00,16.80,3.20,0.00,2.40,0.00,0.00,0.00,77.60,20.00,2.40,0,0,97,0,21,4,0,3,0,0,0,125,N,3.29,3.50,1.90,0.31,1.39,3.52,1.55,1.26,1.17,0.16,0.37,1.24,2399.86,1713.74,686.12,1.20,0.86,0.34,0.61,0.46,0.15,1.81,0.22,1.32,0.50,0.17,3.36,1.27,2.49,0.87,1.26
BR009B,1,-105.2730354,55.23600616,2016-06-04,Shield,382,282,18,Mesic to subhygric,Subhygric,180.52,1.27,Egg,Coniferous,117,Mature,Harvest,0.20,-0.659706737,0.00,91.67,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,100.00,0.00,0.00,0,11,0,0,0,0,0,0,1,0,0,12,Y,31.63,2.01,11.13,1.41,20.50,2.46,7.03,1.71,2.99,1.16,4.04,1.25,17699.40,16612.05,1087.35,8.85,8.31,0.54,2.30,1.84,0.46,11.15,0.86,10.15,1.00,0.38,18.19,1.91,13.14,5.05,1.31
BR010B,1,-106.144284,54.62394861,2016-06-05,Plains,639,130,3.6,Mesic to subhygric,Subhygric,184.9,2.85,Philion,Mixed,28,Intermediate,Harvest,3.68,2.479433078,0.00,19.91,6.33,0.00,4.52,4.07,59.73,5.43,0.00,0.00,0.00,26.24,8.60,65.16,0,44,14,0,10,9,132,12,0,0,0,221,Y,20.65,2.42,8.85,1.19,11.80,2.70,5.78,2.53,4.07,2.19,1.71,1.26,10486.50,8266.65,2219.85,5.24,4.13,1.11,0.30,0.25,0.04,5.54,0.36,4.39,1.15,0.28,11.33,2.56,8.46,2.87,1.29
BR011B,1,-106.1383435,54.58130445,2016-06-05,Plains,614,5,2.7,Mesic,Mesic,184.9,2.91,Philion,Mixed,30,Intermediate,Harvest,2.20,1.248107156,0.76,11.36,9.85,0.00,3.03,1.52,71.21,2.27,0.00,0.00,0.00,21.21,4.55,73.48,1,15,13,0,4,2,94,3,0,0,0,132,Y,11.16,0.79,4.76,0.50,6.39,0.94,2.22,0.71,0.88,0.45,1.34,0.55,8782.09,6575.81,2206.28,4.39,3.29,1.10,0.30,0.26,0.05,4.69,0.31,3.54,1.15,0.27,6.91,0.78,4.42,2.49,0.62
BR012B,1,-106.105501,54.53389651,2016-06-05,Plains,607,330,2.7,Subxeric to mesic,Mesic,184.1,2.86,Philion,Coniferous,108,Mature,Harvest,0.25,-0.712389351,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0,15,0,0,0,0,0,0,0,0,0,15,Y,24.10,1.72,2.15,0.39,21.95,1.77,6.42,0.88,0.64,0.07,5.79,0.88,8264.62,7013.77,1250.85,4.13,3.51,0.63,1.31,0.98,0.33,5.44,0.55,4.49,0.95,0.35,11.87,1.04,5.13,6.74,0.95
BR013B,1,-105.9131379,54.4396942,2016-06-07,Plains,605,225,2.7,Subxeric to mesic,Mesic,184.9,2.7,Philion,Mixed,13,Young,Harvest,1.08,0.847512108,0.00,3.08,43.08,0.00,1.54,21.54,0.00,30.77,0.00,0.00,0.00,46.15,23.08,30.77,0,2,28,0,1,14,0,20,0,0,0,65,Y,5.55,2.44,0.96,0.20,4.59,2.45,1.05,0.93,0.48,0.07,0.57,0.93,955.67,747.67,208.00,0.48,0.37,0.10,1.25,0.87,0.37,1.73,0.41,1.25,0.48,0.33,2.78,1.02,1.73,1.05,0.99
BR014B,1,-105.9124476,54.44285286,2016-06-07,Plains,603,215,5.4,Subxeric to mesic,Mesic,184.9,2.57,Philion,Coniferous,12,Young,Harvest,1.50,1.045623625,0.00,0.00,72.22,0.00,0.00,7.78,0.00,20.00,0.00,0.00,0.00,72.22,7.78,20.00,0,0,65,0,0,7,0,18,0,0,0,90,N,7.15,2.76,0.60,0.15,6.55,2.77,1.43,0.99,0.48,0.17,0.95,0.97,656.18,549.91,106.27,0.33,0.27,0.05,0.75,0.52,0.22,1.08,0.28,0.80,0.28,0.22,2.51,1.03,1.28,1.23,1.00
BR015B,1,-105.8417273,54.39221797,2015-06-07,Plains,608,10,2.475,Mesic,Mesic,184.9,2.83,Philion,Coniferous,22,Intermediate,Harvest,1.23,0.273758657,0.00,47.95,31.51,0.00,0.00,0.00,0.00,20.55,0.00,0.00,0.00,79.45,0.00,20.55,0,35,23,0,0,0,0,15,0,0,0,73,Y,15.15,2.19,3.65,0.97,11.51,2.39,5.20,0.95,2.13,0.60,3.08,0.74,3699.09,2507.77,1191.32,1.85,1.25,0.60,0.27,0.16,0.11,2.12,0.17,1.41,0.70,0.18,7.32,0.97,3.54,3.78,0.76
BR016B,1,-105.8375911,54.39311144,2016-06-07,Plains,610,180,1.8,Mesic to subhygric,Subhygric,184.9,2.75,Philion,Coniferous,188,Mature,Harvest,1.22,-1.024089135,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0,72,0,0,0,0,0,0,0,0,0,72,Y,75.10,4.81,42.92,3.84,32.18,6.16,22.86,2.75,14.59,2.09,8.28,1.78,11869.70,7784.69,4085.01,5.93,3.89,2.04,0.62,0.50,0.12,6.56,0.45,4.39,2.17,0.51,29.42,2.78,18.97,10.44,1.85
BR017B,1,-105.8109987,54.44286776,2016-06-08,Plains,567,310,0.9,Mesic,Mesic,180.12,2.77,Philion,Coniferous,72,Mature,Fire,0.35,-0.309871506,0.00,42.86,0.00,0.00,0.00,0.00,0.00,0.00,57.14,0.00,0.00,100.00,0.00,0.00,0,9,0,0,0,0,0,0,12,0,0,21,Y,30.34,2.71,7.10,0.88,23.24,2.85,11.11,1.19,2.47,0.85,8.65,0.84,11131.80,8857.55,2274.25,5.57,4.43,1.14,0.50,0.43,0.08,6.07,0.46,4.86,1.21,0.29,17.18,1.28,7.32,9.86,0.89
BR018B,1,-105.8066945,54.44192911,2016-06-08,Plains,564,350,4.95,Subxeric,Xeric,180.12,2.75,Philion,Mixed,1,Young,Fire,0.00,-0.630363093,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,N,2.64,2.87,5.45,1.22,0.00,3.12,1.69,1.04,1.69,0.70,0.00,0.76,0.00,0.00,0.00,0.00,0.00,0.00,5.46,3.55,1.91,5.46,1.26,3.55,1.91,0.56,7.15,1.63,5.24,1.91,0.95
BR019B,1,-105.8011396,54.44613427,2016-06-08,Plains,544,45,0.9,Subxeric,Xeric,180.12,2.8,Philion,Coniferous,91,Mature,Fire,0.28,-0.417862439,0.00,41.18,0.00,0.00,0.00,11.76,0.00,0.00,47.06,0.00,0.00,88.24,11.76,0.00,0,7,0,0,0,2,0,0,8,0,0,17,Y,9.87,1.37,1.04,0.19,8.83,1.39,2.86,0.85,0.86,0.21,2.00,0.83,30854.60,27473.33,3381.27,15.43,13.74,1.69,0.27,0.20,0.07,15.70,1.02,13.94,1.76,0.45,18.56,1.33,14.80,3.76,0.94
BR020B,1,-105.8037775,54.45451765,2016-06-08,Plains,542,25,2.7,Subxeric to mesic,Mesic,180.12,2.4,Philion,Coniferous,94,Mature,Fire,0.58,-0.359609121,14.29,17.14,22.86,0.00,0.00,2.86,0.00,0.00,42.86,0.00,0.00,82.86,2.86,0.00,5,6,8,0,0,1,0,0,15,0,0,35,Y,20.67,1.72,6.23,0.70,14.44,1.86,5.03,1.13,1.98,0.72,3.05,0.87,14974.40,13118.29,1856.11,7.49,6.56,0.93,0.61,0.52,0.09,8.10,0.52,7.08,1.02,0.27,13.13,1.25,9.06,4.07,0.91
BR021B,1,-106.3146866,54.53510289,2016-06-09,Plains,671,0,16.65,Subxeric,Xeric,179.56,2.54,Philion,Deciduous,17,Young,Fire,1.43,1.318251983,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0,0,0,0,86,0,0,0,0,0,0,86,Y,9.60,1.19,4.79,0.81,4.81,1.44,2.55,0.86,1.70,0.23,0.85,0.83,6949.48,5896.32,1053.16,3.47,2.95,0.53,0.55,0.47,0.08,4.03,0.35,3.42,0.61,0.18,6.58,0.93,5.12,1.46,0.85
BR022B,1,-106.3084322,54.53237031,2016-06-09,Plains,665,250,2.7,Mesic,Mesic,179.56,2.7,Philion,Coniferous,13,Young,Fire,0.58,0.030149374,0.00,0.00,55.88,0.00,32.35,0.00,0.00,11.76,0.00,0.00,0.00,55.88,32.35,11.76,0,0,19,0,11,0,0,4,0,0,0,34,N,19.34,2.12,10.25,2.09,9.09,2.98,5.84,1.38,3.65,1.10,2.20,0.83,371.00,267.07,103.94,0.19,0.13,0.05,1.54,0.77,0.77,1.73,0.51,0.90,0.82,0.41,7.57,1.47,4.55,3.02,0.93
